Date,archived stream spoiler chats/13-sentinels-spoiler-chat,archived stream spoiler chats/armored-core-spoiler-garage,archived stream spoiler chats/botwtotk-shrine-spoiler,archived stream spoiler chats/call-me-al-somnium-spoiler,archived stream spoiler chats/dp-spoiler-chat-on-jads,archived stream spoiler chats/ff16-spoilers,archived stream spoiler chats/ghost-trick-spoilers,archived stream spoiler chats/inscryption-spoiler-deck,archived stream spoiler chats/lis-true-colors-spoilers,archived stream spoiler chats/outer-wilds-spoiler-chat,archived stream spoiler chats/rabiribi-spoiler-burrow-for-some-reason,archived stream spoiler chats/staaaaaaaaaaaaaaaaaaahfield-spoiler-den,archived stream spoiler chats/va11-hall-of-spoilers,archived stream spoiler chats/you-can-call-me-ai-2-spoiler-chat,archived stream spoiler chats/zero-escape-spoiler-chan,dragons-den/9-rows-9-columns-9-boxes,dragons-den/AI-Somnium-Files-2-spoiler-den,dragons-den/baldurs-gate-3-goty-den,dragons-den/Elden-Ring-Pen-Shadow-of-the-Nerd-Tree,dragons-den/evolve-idol,dragons-den/game-jam-dvd,dragons-den/GoW-Raggyrock-spoiler-Den,dragons-den/Guilty-Gear-Den,dragons-den/Jenshin-Den,dragons-den/roguelike-den,Important/announcements,Important/stream-announcements,MAIN/cringe-cafe,MAIN/dragons-den,MAIN/general,MAIN/mental-health,MAIN/share-stuff-you-made,Stream Stuff/jadseya-awards-2023,Stream Stuff/stream-art-museum
2022-12-25 00:00:00+00:00,0,0,0,0,0,0,0,0,8869,0,0,0,0,0,0,277,0,0,0,0,0,92,0,0,0,0,768,886,110849,1186,113,808,0,27
2023-01-01 00:00:00+00:00,0,0,0,742,0,0,0,0,5199,0,0,0,0,0,0,256,0,0,0,0,0,249,0,0,0,0,596,1036,121255,1156,209,475,0,599
2023-01-08 00:00:00+00:00,0,0,0,32453,0,0,0,0,0,0,0,0,0,0,0,188,0,0,0,0,0,0,0,0,0,0,930,784,127320,675,69,770,0,2316
2023-01-15 00:00:00+00:00,0,0,0,45719,0,0,0,0,0,0,0,0,0,0,0,143,0,0,0,0,0,0,0,0,0,0,637,2110,106118,854,139,1117,0,2468
2023-01-22 00:00:00+00:00,0,0,0,1501,0,0,0,0,0,0,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,1770,2076,82935,1091,286,906,0,1115
2023-01-29 00:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,960,2706,103911,811,216,921,0,5258
2023-02-05 00:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,625,2553,107218,884,330,1161,0,1223
2023-02-12 00:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,676,1767,96952,1890,244,1772,0,3000
2023-02-19 00:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,866,2133,103380,1026,230,815,0,1928
2023-02-26 00:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,652,1470,112506,842,154,927,0,2174
2023-03-05 00:00:00+00:00,0,0,0,0,1399,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,695,2028,101457,660,80,640,0,3067
2023-03-12 00:00:00+00:00,0,0,0,0,1089,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,812,5097,97716,544,136,460,0,1870
2023-03-19 00:00:00+00:00,5503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,11475,0,0,687,2249,106068,533,99,686,0,3125
2023-03-26 00:00:00+00:00,32212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9118,0,0,3311,2663,140435,943,125,894,0,4169
2023-04-02 00:00:00+00:00,28088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,7154,0,0,987,3893,98453,728,130,973,0,1780
2023-04-09 00:00:00+00:00,25904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20816,0,0,964,2446,95089,482,128,691,0,1268
2023-04-16 00:00:00+00:00,2059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15149,0,0,0,4520,90158,554,172,572,0,184
2023-04-23 00:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,26095,0,0,1432,1421,77199,467,151,633,0,745
2023-04-30 00:00:00+00:00,0,0,2300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36858,0,0,2636,1501,66613,384,78,495,0,1872
2023-05-07 00:00:00+00:00,0,0,4550,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,25234,0,0,667,1223,61364,945,97,680,0,894
2023-05-14 00:00:00+00:00,0,0,7365,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10888,0,0,813,1376,71228,572,110,380,0,228
2023-05-21 00:00:00+00:00,0,0,5754,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,13320,0,0,0,1611,68211,341,109,347,0,0
2023-05-28 00:00:00+00:00,0,0,4985,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,12572,0,0,872,1877,75248,294,108,448,0,385
2023-06-04 00:00:00+00:00,0,0,2198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2595,0,0,0,13388,0,0,720,1163,88055,441,105,485,0,407
2023-06-11 00:00:00+00:00,0,0,571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3576,0,0,0,9943,0,0,569,1026,110960,684,159,570,0,394
2023-06-18 00:00:00+00:00,0,0,1443,0,0,724,0,0,0,0,0,0,0,0,0,0,0,0,0,3263,0,0,0,9508,0,0,645,987,114033,578,188,855,0,2260
2023-06-25 00:00:00+00:00,0,0,0,0,0,3778,0,0,0,0,0,0,0,0,0,2,0,0,0,2379,0,0,0,10969,0,0,949,1398,115410,546,252,700,0,1295
2023-07-02 00:00:00+00:00,0,0,0,0,0,1644,0,0,0,0,0,0,0,0,0,0,0,0,0,2246,0,0,0,16449,134,0,690,2532,87004,398,271,921,0,1125
